1,051M5020H,生物可降解高分子材料,40,2,2017/12/1,08:30 — 10:10,教1-114
2,201M5011H,代数曲线基础,40,2,2017/12/1,08:30 — 10:10,教1-132
3,083M5015H,工业废气控制过程/材料与技术,40,2,2017/12/1,10:30 — 12:10,教2-229
4,075M4002H,水文地质学,60,4,2017/12/1,13:30 — 16:10,教2-105
5,103M5002H,高电压实验技术,30,2,2017/12/1,13:30 — 16:20,教1-225 
6,MPA0011Z,社会保障,32,2,2017/12/2,19:00 — 21:00,中关村S202
7,084M4001H,高等土壤——植物营养学,60,3,2017/12/3,13:30 — 16:10,教2-106
8,076M4003H,重力学,60,4,2017/12/4,08:30 — 11:00,教2-427
9,163MX003H,研究方法,60,3,2017/12/4,09:00 — 13:00,学园3-389
10,051M2008H,半导体器件物理,40,2,2017/12/4,13:30 — 15:10,教1-208
11,074M4005H,生物有机化学,60,4,2017/12/5,08:30 — 11:30,教2-329
12,201M5017H,网络溯源取证,40,2,2017/12/5,08:30 — 10:10,教1-404
13,072M4010H,有机地球化学,60,4,2017/12/5,13:30 — 16:00,教2-127
14,133M5004H,知识产权管理与运营,36,2,2017/12/5,13:30 — 16:20,教1-409
15,082M1001H,全球变化生态学,60,3,2017/12/5,13:30 — 16:10,教2-104/教2-105
16,071M4011H,有限元方法与计算地球动力学,50,3,2017/12/6,08:30 — 11:30,教2-127
17,091M5023H,数据挖掘,40,2,2017/12/6,08:30 — 10:10,教1-009/207/109/208 /114 /304
18,051M1002H,材料分析方法,50,3,2017/12/6,13:30 — 15:10,教1-101/教1-009
19,061M5041H,生命科学研究中的色谱/质谱和蛋白质组学技术,30,2,2017/12/6,13:30 — 16:10,教2-205
20,051M5072H,低维半导体光电性质与应用,40,2,2017/12/7,13:30 — 15:10,教1-315
21,083M1001H,大气污染控制技术,60,3,2017/12/7,13:30 — 16:12,教2-225
22,061M4021H,表观遗传学,60,4,2017/12/7,18:30 — 20:30,教2-106/204/205/207
23,061M4014H,神经科学,60,4,2017/12/7,19:00 — 21:40,教2-104
24,061M4008H,生物活性小分子,60,4,2017/12/8,13:30 — 16:20,教2-127
25,052M2003H,应用光学,40,2,2017/12/8,19:00 — 21:00,教1-009/教1-107
26,021M2022H,非平衡统计物理,40,2,2017/12/10,08:30 — 10:30,教1-114
27,011M4021H,图论与网络算法,40,2,2017/12/10,19:00 — 21:00,教1-109
28,102M4003H,光子学,50,3,2017/12/11,08:30 — 10:10,教1-107
29,141M2004H,伦理学思想流派,40,2,2017/12/11,09:20 — 12:00,学1-221
30,24MGX003H,心理学实验,40,1,2017/12/11,13:30 — 16:00,教二229
31,083M4002H,环境分子毒理学,50,2.5,2017/12/11,13:31 — 15:10,教2-205
32,101M5013H,现代信号处理Ⅰ,50,3,2017/12/11,15:30 — 17:10,教1-213
33,14MGX025H,科学技术与公共政策,40,1,2017/12/11,19:00 — 21:30,0
34,061M5011H,分子生物学研究技术,50,3,2017/12/12,08:30 — 10:10,教1-109/114/207/208
35,051M5021H,有机半导体材料,40,2,2017/12/12,10:30 — 12:10,教1-113
36,061M5005H,植物激素生物学,50,3,2017/12/12,10:30 — 12:10,教2-105
37,021M2001H,软物质物理导论,50,3,2017/12/12,13:30 — 15:10,教1-225
38,061M5025H,分子病毒学,40,3,2017/12/12,13:30 — 15:10,教2-419
39,181M2013H,医学统计学,50,3.5,2017/12/12,13:30 — 15:00,学园3-257
40,251M5010H,语音识别技术,40,2,2017/12/12,13:30 — 15:30,教1-405
41,251M5015H,智能传感与信息处理,40,2,2017/12/12,13:30 — 15:30,教1-207
42,101M5012H,水声建模与声纳系统分析,30,2,2017/12/12,13:30 — 16:20,教1-209
